iter,grad_match
1,1821.35498047
2,861.05932617
3,1760.16308594
4,570.82775879
5,696.17840576
6,712.93682861
7,738.01824951
8,728.13983154
9,687.61181641
10,659.76898193
11,591.50695801
12,552.15277100
13,508.47293091
14,500.33938599
15,481.40075684
16,471.89807129
17,454.57128906
18,436.28213501
19,413.59088135
20,397.17578125
21,383.96853638
22,380.46160889
23,368.49447632
24,355.71096802
25,342.40371704
26,341.80310059
27,331.68823242
28,321.37213135
29,320.75476074
30,318.21417236
31,306.37969971
32,304.72521973
33,298.03631592
34,284.45608521
35,273.68551636
36,273.05838013
37,262.86795044
38,256.56216431
39,250.66854858
40,244.51545715
41,238.90409851
42,237.90171814
43,235.64718628
44,231.77336121
45,230.03108215
46,226.50985718
47,222.24057007
48,220.32115173
49,217.17149353
50,214.12629700
51,213.01007080
52,211.36672974
53,210.42425537
54,211.73143005
55,210.45759583
56,206.38400269
57,207.34509277
58,209.53721619
59,208.58381653
60,209.89729309
61,211.64926147
62,209.90476990
63,206.82220459
64,207.73515320
65,205.52693176
66,205.65382385
67,205.93783569
68,202.23666382
69,206.21614075
70,204.16610718
71,208.56149292
72,205.43679810
73,198.80517578
74,197.21342468
75,193.36654663
76,193.38476562
77,193.75863647
78,190.54809570
79,190.71765137
80,192.84466553
81,187.75535583
82,190.55401611
83,193.33905029
84,196.52934265
85,190.97372437
86,188.77374268
87,187.11094666
88,186.87591553
89,184.31832886
90,181.14810181
91,179.39801025
92,178.12142944
93,181.23997498
94,178.22058105
95,177.01582336
96,175.64141846
97,174.03399658
98,174.33322144
99,172.58679199
100,169.88380432
101,168.67115784
102,169.40393066
103,165.60859680
104,167.76469421
105,168.69099426
106,166.37878418
107,165.70874023
108,162.98455811
109,161.42260742
110,161.81707764
111,161.86460876
112,157.77220154
113,157.01455688
114,155.35723877
115,154.81622314
116,153.27981567
117,156.90699768
118,152.90423584
119,152.43045044
120,153.46586609
121,153.33570862
122,153.56636047
123,152.51266479
124,151.70574951
125,150.93019104
126,150.98883057
127,150.79565430
128,150.97373962
129,151.70141602
130,150.06219482
131,151.18580627
132,150.63749695
133,148.28411865
134,151.19148254
135,150.50628662
136,149.50508118
137,150.78500366
138,150.49523926
139,150.68135071
140,150.31871033
141,148.91346741
142,149.13990784
143,148.82936096
144,148.18392944
145,148.86778259
146,149.81904602
147,150.63124084
148,150.04417419
149,150.95132446
150,151.07408142
151,152.38754272
152,153.56793213
153,151.47544861
154,150.35057068
155,150.08813477
156,150.41113281
157,147.19392395
158,144.10716248
159,145.50363159
160,147.23840332
161,146.86303711
162,148.14167786
163,148.89300537
164,149.01020813
165,145.37486267
166,145.01477051
167,151.34046936
168,150.65391541
169,147.90803528
170,146.67765808
171,148.73722839
172,145.20138550
173,141.80287170
174,141.71020508
175,140.33409119
176,139.96034241
177,138.62699890
178,138.02563477
179,137.78753662
180,136.87408447
181,138.16256714
182,140.16325378
183,139.33641052
184,137.88159180
185,138.20863342
186,137.99682617
187,134.78808594
188,134.74310303
189,133.97702026
190,134.59422302
191,134.08583069
192,133.52264404
193,134.17088318
194,133.45016479
195,132.31300354
196,130.77664185
197,131.20817566
198,131.14895630
199,130.51361084
200,130.34928894
201,130.63256836
202,130.58306885
203,130.04180908
204,128.88275146
205,128.61982727
206,129.04005432
207,129.07534790
208,130.35275269
209,129.27966309
210,126.98594666
211,127.64293671
212,126.92075348
213,126.44108582
214,125.85881805
215,125.72311401
216,125.90235138
217,125.24838257
218,125.68252563
219,124.74382019
220,124.89528656
221,124.82772064
222,126.72725677
223,125.86513519
224,125.27555847
225,126.17220306
226,126.55247498
227,123.66123962
228,123.56182861
229,122.21810150
230,121.84623718
231,122.69017029
232,122.70722961
233,122.31553650
234,122.51397705
235,120.73980713
236,120.49797058
237,121.48773956
238,120.73208618
239,119.61550903
240,120.01773834
241,120.09564972
242,119.85788727
243,120.28293610
244,119.15312195
245,122.36125183
246,121.07601929
247,118.85297394
248,118.72831726
249,118.06193542
250,116.74775696
251,117.43035889
252,117.71392822
253,116.69508362
254,117.60780334
255,115.51331329
256,114.84239960
257,115.12855530
258,115.54098511
259,113.38061523
260,114.32454681
261,116.45262909
262,113.53385925
263,113.95083618
264,113.53157043
265,113.18272400
