iter,grad_match
1,2026.11657715
2,1477.78637695
3,2112.72656250
4,1297.64001465
5,1401.39489746
6,1390.85095215
7,1277.28210449
8,1172.84313965
9,1216.09545898
10,1149.47729492
11,1165.16015625
12,1054.46887207
13,940.23712158
14,807.98999023
15,709.97161865
16,670.05963135
17,704.85607910
18,743.45233154
19,747.09295654
20,688.05505371
21,643.38336182
22,603.38500977
23,652.86791992
24,667.53179932
25,635.63159180
26,600.66467285
27,582.07690430
28,575.57135010
29,575.84124756
30,562.32165527
31,546.86816406
32,531.97967529
33,530.97039795
34,529.04315186
35,524.87432861
36,505.76577759
37,494.41976929
38,477.14141846
39,481.92517090
40,470.78097534
41,468.95812988
42,461.06213379
43,478.22366333
44,475.49874878
45,461.11703491
46,450.96261597
47,450.53234863
48,444.85424805
49,446.57202148
50,435.48242188
51,434.99508667
52,420.89300537
53,412.53491211
54,408.64370728
55,424.03317261
56,413.93948364
57,409.49548340
58,404.28298950
59,408.56857300
60,406.75885010
61,404.93789673
62,402.54769897
63,406.27499390
64,403.82339478
65,414.10104370
66,417.77493286
67,405.97644043
68,425.10540771
69,439.20983887
70,431.44442749
71,480.17648315
72,490.74542236
73,503.05764771
74,501.92202759
75,488.79342651
76,503.81173706
77,514.14648438
78,538.79718018
79,533.39044189
80,519.80651855
81,508.96145630
82,531.81103516
83,505.61419678
84,432.34875488
85,348.57946777
86,284.44482422
87,259.42959595
88,235.05323792
89,230.06541443
90,230.56854248
91,229.95506287
92,230.92399597
93,232.27682495
94,234.96765137
95,241.94761658
96,244.76881409
97,242.64749146
98,242.02091980
99,242.68861389
100,240.41871643
101,240.38356018
102,237.57611084
103,238.43991089
104,242.64529419
105,240.84553528
106,236.90579224
107,234.72570801
108,233.84526062
109,224.84129333
110,221.86965942
111,219.97232056
112,217.95089722
113,217.09025574
114,217.89331055
115,216.35311890
116,215.49038696
117,213.38691711
118,214.75578308
119,209.77452087
120,210.42109680
121,209.78520203
122,209.51536560
123,208.96627808
124,212.34658813
125,212.51747131
126,211.44012451
127,208.65420532
128,206.32409668
129,205.18901062
130,203.39585876
131,203.31385803
132,203.47135925
133,202.06483459
134,204.71478271
135,204.19390869
136,202.44667053
137,200.76158142
138,199.92460632
139,196.36349487
140,204.12907410
141,203.18948364
142,202.41752625
143,201.35281372
144,200.63533020
145,200.66996765
146,200.59037781
147,201.62075806
148,200.91787720
149,200.80892944
150,200.25419617
151,199.87271118
152,199.28909302
153,199.64572144
154,190.33644104
155,188.99426270
156,195.69560242
157,196.10591125
158,195.94267273
159,190.27754211
160,190.83328247
161,190.96235657
162,189.04615784
163,173.03639221
164,171.63108826
165,162.08749390
166,160.92126465
167,161.68624878
168,160.37945557
169,158.13821411
170,158.35380554
171,157.68649292
172,159.03361511
173,158.20269775
174,156.35183716
175,155.22781372
176,154.63063049
177,154.46112061
178,152.16015625
179,151.79678345
180,151.98001099
181,151.47392273
182,152.15852356
183,150.68801880
184,148.77030945
185,148.51232910
186,147.50489807
187,146.75961304
188,146.18426514
189,144.83580017
190,144.35585022
191,143.67835999
192,143.31407166
193,142.98036194
194,142.30560303
195,141.72189331
196,141.62982178
197,141.16535950
198,140.47358704
199,140.16534424
200,139.87762451
201,140.18942261
202,139.87580872
203,139.43669128
204,139.11471558
205,138.33950806
206,137.70924377
207,137.33250427
208,137.21434021
209,136.94804382
210,136.33160400
211,136.09095764
212,135.71284485
213,135.70463562
214,134.90080261
215,134.73283386
216,134.05197144
217,133.46873474
218,133.10684204
219,132.98036194
220,132.50053406
221,132.37397766
222,131.66712952
223,131.02151489
224,130.56430054
225,130.16488647
226,129.41436768
227,129.59552002
228,129.73165894
229,128.81517029
230,128.04280090
231,128.26461792
232,127.87831879
233,127.77896881
234,127.45698547
235,127.75523376
236,127.61520386
237,127.18505096
238,126.76979065
239,126.39264679
240,125.62553406
241,125.08501434
242,124.33918762
243,123.77517700
244,123.54355621
245,122.46988678
246,122.05963898
247,121.76502991
248,121.31065369
249,120.83343506
250,120.52912140
251,120.00268555
252,119.60497284
253,118.94687653
254,118.40933990
255,118.55129242
256,118.12699890
257,118.88135529
258,118.98026276
259,118.62482452
260,118.50141144
261,118.18283081
262,118.07308197
263,118.17360687
264,118.24037170
265,117.96759796
266,117.36923981
267,117.20156860
268,116.29521942
269,116.32231903
270,116.38240814
271,116.00313568
272,115.26502228
273,115.07096863
274,114.99422455
275,114.54154205
276,114.20858765
277,113.57417297
278,113.48523712
279,113.06702423
280,112.26103210
281,110.16250610
282,109.95033264
283,109.47743988
284,109.34308624
285,109.46373749
286,109.39708710
287,109.23162842
288,108.77268982
289,108.64314270
290,108.50089264
291,108.43027496
292,108.18285370
293,107.55781555
294,107.32311249
295,107.11034393
296,106.92128754
297,106.32608032
298,106.44287109
299,106.35339355
300,106.62554932
301,106.92928314
302,106.95630646
303,106.92209625
304,106.73332977
305,106.30500031
306,106.17137146
307,105.26800537
308,105.06484985
309,104.89721680
310,104.01753235
311,104.29882050
312,104.19742584
313,103.35349274
314,103.29570007
315,103.12193298
316,103.22259521
317,102.94390106
318,102.87716675
319,102.97538757
320,102.95195770
321,102.59169006
322,102.47181702
323,101.85823059
324,102.04291534
325,101.97649384
326,101.80977631
327,101.67206573
328,101.82330322
329,101.90604401
330,101.44091797
331,101.50356293
332,101.18331909
333,100.74503326
334,100.43401337
335,100.13314819
336,99.76448822
337,99.45742035
338,99.01982117
339,98.67031097
340,98.47290802
341,98.48065186
342,97.78094482
343,97.81675720
344,98.34395599
345,97.59235382
346,95.01343536
347,94.74150848
348,94.53208923
349,93.48260498
350,93.23091125
351,92.54027557
352,92.20890808
353,92.17596436
354,92.07882690
355,91.54421234
356,91.14123535
357,91.03076172
358,90.80957794
359,90.69007874
360,90.68652344
361,90.39261627
