iter,grad_match
1,882.22137451
2,969.46643066
3,715.98016357
4,953.45843506
5,667.33605957
6,675.88647461
7,625.87683105
8,662.77435303
9,618.55377197
10,592.10662842
11,588.80694580
12,495.45669556
13,491.25759888
14,435.80676270
15,394.44796753
16,370.46041870
17,357.67755127
18,346.06842041
19,340.91763306
20,335.03958130
21,332.89526367
22,329.01614380
23,327.17703247
24,325.96411133
25,328.90673828
26,327.57147217
27,326.24954224
28,325.38848877
29,324.10510254
30,323.13949585
31,322.82315063
32,320.74871826
33,319.57778931
34,318.03921509
35,317.54522705
36,317.17959595
37,316.94415283
38,316.14505005
39,316.38891602
40,314.72344971
41,313.05340576
42,311.54928589
43,309.94680786
44,307.86639404
45,308.78384399
46,307.12054443
47,304.23959351
48,302.65518188
49,301.95162964
50,300.78994751
51,299.34686279
52,299.35278320
53,297.46533203
54,296.53814697
55,294.22082520
56,292.82537842
57,291.87188721
58,288.33923340
59,286.49203491
60,285.28839111
61,284.61251831
62,285.40234375
63,283.61065674
64,282.08837891
65,280.34133911
66,278.68325806
67,277.60830688
68,276.50592041
69,277.22238159
70,275.53735352
71,273.75277710
72,272.22427368
73,271.55700684
74,269.84088135
75,268.66418457
76,267.87069702
77,264.61511230
78,260.72409058
79,259.77658081
80,258.26974487
81,259.63497925
82,255.87930298
83,255.53019714
84,254.07693481
85,256.92971802
86,251.61978149
87,250.02919006
88,245.88491821
89,245.71215820
90,244.01678467
91,240.41430664
92,238.41545105
93,236.13536072
94,236.99006653
95,230.49020386
96,230.20851135
97,229.99441528
98,225.96514893
99,223.71417236
100,220.97514343
101,218.46072388
102,216.24136353
103,213.38075256
104,211.45428467
105,209.61288452
106,207.48143005
107,204.33921814
108,202.72772217
109,200.34068298
110,196.08828735
111,194.40653992
112,191.32212830
113,189.83845520
114,187.92005920
115,186.28569031
116,182.52114868
117,180.91703796
118,178.71205139
119,178.09315491
120,175.74264526
121,173.49630737
122,171.08613586
123,175.58097839
124,184.41540527
125,171.10317993
