iter,grad_match
1,2452.91674805
2,1431.79846191
3,4895.92675781
4,1596.70983887
5,1951.93884277
6,1833.47399902
7,1751.89379883
8,1779.01123047
9,1790.46972656
10,1832.18395996
11,1770.98571777
12,1696.57653809
13,1624.20251465
14,1585.98291016
15,1570.02746582
16,1521.45715332
17,1462.89978027
18,1438.92639160
19,1352.91589355
20,1273.51989746
21,1199.50695801
22,1183.45129395
23,1173.61035156
24,1177.65478516
25,1178.28845215
26,1149.26269531
27,1154.51403809
28,1130.33972168
29,1136.65576172
30,1130.19921875
31,1132.78491211
32,1132.97595215
33,1115.77429199
34,1096.88891602
35,1091.60791016
36,1092.47558594
37,1094.72875977
38,1092.70385742
39,1087.73510742
40,1079.97497559
41,1070.52856445
42,1071.83947754
43,1069.57751465
44,1049.41760254
45,1050.59777832
46,1049.87963867
47,1046.88012695
48,1044.61669922
49,1047.59838867
50,1045.69189453
51,1038.16394043
52,1033.28552246
53,1020.93969727
54,1029.52563477
55,1028.39587402
56,1030.70178223
57,1017.54455566
58,1006.51452637
59,1000.98962402
60,1004.99609375
61,1002.55322266
62,997.61303711
63,995.59582520
64,991.70837402
65,986.69470215
66,983.35064697
67,980.90551758
68,979.62011719
69,976.92364502
70,969.98583984
71,967.79656982
72,966.90875244
73,962.54956055
74,952.59130859
75,952.17504883
76,959.76263428
77,964.88684082
78,972.73486328
79,992.51104736
80,989.47253418
81,990.94946289
82,983.88977051
83,990.82159424
84,984.34118652
85,978.94219971
86,982.12280273
87,970.92272949
88,996.63311768
89,982.86077881
90,997.11822510
91,1009.16772461
92,1017.31280518
93,1000.28674316
94,989.76586914
95,1014.09655762
96,994.92053223
97,979.52691650
98,960.59759521
99,946.19018555
100,946.41290283
101,938.79687500
102,961.81671143
103,953.29510498
104,925.80572510
105,921.88531494
106,924.87005615
107,899.12121582
108,912.85504150
109,884.00634766
110,898.87963867
111,1021.75482178
112,978.25292969
113,880.34088135
114,930.67810059
115,916.62878418
116,951.34820557
117,903.17968750
118,885.57678223
119,897.94293213
120,859.11016846
121,871.39221191
122,854.72760010
123,841.34637451
124,835.18743896
125,891.04943848
126,848.21954346
127,847.15783691
128,829.64068604
129,823.13098145
130,835.95520020
131,814.35760498
132,799.99993896
133,804.07507324
134,793.19067383
135,789.14794922
136,788.60034180
137,768.07373047
138,761.33581543
139,747.38684082
140,740.42962646
141,732.51263428
142,724.39807129
143,719.28533936
144,707.76373291
145,706.05609131
146,695.02386475
147,698.12335205
148,686.97937012
149,686.17816162
150,677.50213623
151,672.01300049
152,661.60290527
153,651.21209717
154,640.65783691
155,640.37670898
156,632.42181396
157,632.27447510
158,610.41101074
159,606.08569336
160,638.28393555
161,604.18151855
162,599.82470703
163,621.95843506
164,593.09503174
165,604.06390381
166,672.09442139
167,604.58245850
168,628.06695557
169,597.16491699
170,614.76214600
171,616.60156250
172,612.01672363
173,595.38336182
174,583.78369141
175,585.93206787
176,572.27081299
177,563.42541504
178,558.60791016
179,552.84313965
180,548.15472412
181,541.07043457
182,547.33416748
183,539.39202881
184,535.85589600
185,538.91778564
186,538.04608154
187,534.47064209
188,518.40649414
189,512.73431396
190,510.11404419
191,504.41180420
192,507.96606445
193,522.22509766
194,551.64532471
195,699.41638184
196,511.58721924
197,516.79132080
198,525.52441406
199,522.17156982
200,539.53094482
201,523.67199707
202,526.62127686
203,517.11187744
204,514.77148438
205,503.98001099
206,495.88394165
207,485.98913574
208,484.97296143
209,480.83975220
210,482.20861816
211,480.14920044
212,487.16226196
213,474.66250610
214,478.40786743
215,484.80923462
216,469.29513550
217,460.77777100
218,486.83084106
219,472.55944824
220,460.45303345
221,534.22558594
222,513.47125244
223,479.62838745
224,496.40658569
225,475.11895752
226,471.25628662
227,483.87191772
228,472.47186279
229,473.41421509
230,451.72290039
231,450.97821045
232,439.68939209
233,447.09771729
234,442.90267944
235,443.65469360
236,440.07031250
237,460.56390381
238,483.69232178
239,442.94235229
240,496.54782104
241,435.28079224
242,446.96890259
243,442.44561768
244,445.68237305
245,439.44567871
246,443.92837524
247,448.34832764
248,437.99719238
249,438.83267212
250,426.54077148
251,423.91970825
252,428.77297974
253,419.14654541
254,405.14071655
255,400.73065186
256,397.62237549
257,386.21368408
258,381.27920532
259,378.08929443
260,384.84075928
261,377.40228271
262,379.12609863
263,379.42984009
264,388.90716553
265,429.67028809
266,406.18780518
267,406.80288696
268,441.12649536
269,421.67538452
270,383.64520264
271,447.47091675
272,390.12338257
273,392.29763794
274,407.78317261
275,370.91220093
276,438.84927368
277,396.16290283
278,400.80560303
279,391.98846436
280,398.97933960
281,413.63293457
282,393.00888062
283,396.48611450
284,397.45022583
285,393.80395508
286,389.99429321
287,390.24716187
288,391.34317017
289,385.95608521
290,384.29153442
291,374.90722656
292,370.95117188
293,382.47265625
294,418.19515991
295,385.67343140
296,374.43914795
297,368.23696899
298,362.20327759
299,343.72912598
300,348.49624634
301,360.62872314
302,341.25909424
303,346.79040527
304,366.16751099
305,365.29180908
306,361.93896484
307,432.65209961
308,476.10037231
309,444.24267578
310,356.16223145
311,354.35125732
312,343.72668457
313,362.10409546
314,348.83151245
315,344.14486694
316,345.51791382
317,354.59033203
318,348.43933105
