iter,grad_match
1,2026.11657715
2,1477.78637695
3,2112.72656250
4,1297.60131836
5,1400.93579102
6,1390.91101074
7,1277.45275879
8,1173.40808105
9,1216.57128906
10,1149.76025391
11,1165.79724121
12,1056.27600098
13,939.70916748
14,871.54760742
15,706.46087646
16,673.23059082
17,716.56524658
18,763.94189453
19,757.84509277
20,706.84436035
21,642.12200928
22,611.40863037
23,655.42181396
24,677.45404053
25,633.96685791
26,606.05456543
27,583.60986328
28,573.98297119
29,576.88836670
30,566.18902588
31,538.67565918
32,532.74298096
33,528.50860596
34,532.63519287
35,516.48590088
36,532.20196533
37,499.49920654
38,483.38571167
39,499.74316406
40,485.81039429
41,466.16122437
42,465.19161987
43,464.78533936
44,481.11672974
45,477.00915527
46,456.33312988
47,446.44088745
48,441.35208130
49,439.42968750
50,441.29235840
51,437.08935547
52,423.79702759
53,428.95129395
54,423.66140747
55,416.04077148
56,410.47567749
57,407.22158813
58,404.54302979
59,403.16116333
60,400.39620972
61,400.05166626
62,409.04183960
63,411.77554321
64,429.01092529
65,418.36062622
66,425.60079956
67,448.10238647
68,451.74630737
69,487.30187988
70,513.46697998
71,502.30938721
72,510.23837280
73,494.83767700
74,533.58520508
75,565.58270264
76,532.53625488
77,549.92071533
78,532.05560303
79,538.47357178
80,560.39294434
81,518.97009277
82,472.73379517
83,355.93191528
84,290.68881226
85,259.81823730
86,245.89994812
87,236.46301270
88,230.87889099
89,225.38505554
90,228.34426880
91,236.69476318
92,236.28872681
93,235.60615540
94,233.78205872
95,233.62057495
96,248.50486755
97,244.11967468
98,243.76321411
99,242.29055786
100,240.23687744
101,238.74594116
102,240.27412415
103,238.95217896
104,236.56703186
105,234.68765259
106,223.22975159
107,221.94630432
108,219.72796631
109,219.75802612
110,220.52413940
111,220.67135620
112,218.91319275
113,217.52925110
114,216.42529297
115,215.73101807
116,215.08570862
117,217.62223816
118,219.17225647
119,218.02774048
120,216.13049316
121,215.38668823
122,214.54522705
123,211.48039246
124,210.71774292
125,207.68740845
126,206.93997192
127,206.22409058
128,205.77818298
129,203.04484558
130,202.60696411
131,204.37576294
132,204.65261841
133,203.94920349
134,201.81022644
135,200.53042603
136,200.64494324
137,201.53890991
138,199.89617920
139,198.28172302
140,197.31388855
141,184.68843079
142,183.29879761
143,189.49621582
144,187.53637695
145,185.85523987
146,184.94671631
147,192.19422913
148,177.29513550
149,178.56349182
150,178.02835083
151,178.08534241
152,177.54069519
153,177.47868347
154,176.63073730
155,170.87165833
156,169.92405701
157,169.27507019
158,168.81744385
159,165.38870239
160,163.89643860
161,163.10891724
162,162.90350342
163,162.23759460
164,162.31350708
165,161.10275269
166,159.98448181
167,158.39562988
168,158.12228394
169,157.49136353
170,157.66177368
171,154.98411560
172,153.87982178
173,153.35385132
174,153.15345764
175,153.28445435
176,152.74119568
177,149.92124939
178,149.20289612
179,148.50421143
180,148.23376465
181,146.89982605
182,146.42869568
183,145.67706299
184,145.47090149
185,144.76350403
186,144.65382385
187,144.32180786
188,143.91862488
189,143.40638733
190,143.68310547
191,142.89280701
192,142.20089722
193,142.07711792
194,141.81640625
195,141.58709717
196,141.29316711
197,141.13655090
198,140.23873901
199,139.97094727
200,139.00257874
201,138.81590271
202,138.35932922
203,137.98408508
204,137.90901184
205,137.63816833
206,137.75999451
207,136.98347473
208,136.40599060
209,136.29905701
210,135.61778259
211,135.43336487
212,134.81771851
213,134.74186707
214,134.33488464
215,134.08757019
216,132.91917419
217,132.59027100
218,132.71765137
219,132.22409058
220,131.69923401
221,131.48742676
222,131.38349915
223,131.02839661
224,130.23236084
225,129.78395081
226,129.72468567
227,129.63574219
228,128.74363708
229,128.52546692
230,128.04457092
231,127.35246277
232,126.96140289
233,126.04701233
234,125.95281982
235,126.07649231
236,124.96945953
237,124.88401794
238,125.10369873
239,124.99112701
240,124.56932831
241,124.16362762
242,123.80482483
243,124.09030914
244,123.36704254
245,122.88290405
246,122.47275543
247,122.20381927
248,121.51570129
249,120.45936584
250,119.99468231
251,119.67834473
252,119.78072357
253,119.56260681
254,118.31175995
255,118.06012726
256,116.98864746
257,116.49240875
258,115.78893280
259,115.29008484
260,114.88673401
261,114.57018280
262,114.61083984
263,114.36867523
264,114.36634827
265,113.89495850
266,113.57700348
267,113.06651306
268,107.32945251
269,112.97714233
270,112.94940948
271,112.92841339
272,112.52014923
273,112.06832886
274,111.65683746
275,111.40273285
276,110.92082977
277,110.34483337
278,109.72641754
279,104.18400574
280,110.58802795
281,109.74942780
282,110.07912445
283,109.85141754
284,110.10065460
285,109.82019806
286,109.76800537
287,108.99821472
288,108.90239716
289,108.40737152
290,108.83972931
291,104.12374878
292,108.37861633
293,108.69860840
294,108.43181610
295,107.84285736
296,108.02984619
297,107.59231567
298,107.39158630
299,106.88004303
300,106.68712616
301,107.04948425
302,106.35043335
303,102.04669189
304,106.51087952
305,106.38773346
306,105.82020569
307,105.96369171
308,105.64024353
309,105.22579956
310,105.05541992
311,104.43779755
312,103.76126099
313,103.62143707
314,99.93186188
315,103.67938995
316,103.41124725
317,104.29856110
318,104.73757172
319,104.54386902
320,104.09693146
321,103.17031860
322,102.84464264
323,102.40807343
324,102.55305481
325,102.29184723
326,98.92141724
327,102.29460907
328,102.69799042
329,102.87528229
330,102.87126923
331,102.70727539
332,102.20985413
333,101.91899109
334,100.59938812
335,99.87851715
336,99.83135223
337,99.84136963
338,98.33670807
339,99.51125336
340,100.06204224
341,100.64443207
342,100.48102570
343,100.17412567
344,99.86960602
345,98.48511505
346,98.42814636
347,98.03982544
348,96.78202057
349,96.65106964
350,94.49919891
351,95.28569031
352,95.08783722
353,93.75076294
354,94.05358887
355,93.78827667
356,92.82138824
357,91.96069336
358,91.70446014
359,92.47426605
360,91.97679138
361,89.20397186
