iter,grad_match
1,1756.81274414
2,1463.47241211
3,1294.37915039
4,1238.28198242
5,1217.00903320
6,1184.35461426
7,1172.83410645
8,1169.11816406
9,1122.27746582
10,1098.48327637
11,1068.17407227
12,1056.25415039
13,1010.93768311
14,988.49371338
15,1018.74432373
16,1034.84008789
17,1014.94128418
18,995.95739746
19,972.89270020
20,979.19592285
21,984.64648438
22,966.46270752
23,989.82049561
24,988.23919678
25,999.65142822
26,993.54681396
27,986.88830566
28,979.85314941
29,980.17718506
30,975.10345459
31,937.56616211
32,928.75329590
33,929.81860352
34,929.35711670
35,924.53900146
36,919.48889160
37,884.06695557
38,884.96081543
39,884.41101074
40,896.63537598
41,889.06121826
42,868.47924805
43,852.50219727
44,845.30578613
45,864.91558838
46,829.85211182
47,790.76403809
48,787.93286133
49,772.22430420
50,782.13708496
51,789.87628174
52,756.47705078
53,753.31884766
54,733.95904541
55,737.16918945
56,732.24505615
57,791.31457520
58,798.92303467
59,842.31719971
60,763.40808105
61,744.80834961
62,758.79394531
63,706.28851318
64,693.22888184
65,694.10919189
66,684.61810303
67,690.54003906
68,688.87316895
69,676.86437988
70,678.37597656
71,659.55316162
72,655.63208008
73,655.61199951
74,641.88946533
75,636.06152344
76,622.23706055
77,607.36560059
78,597.42382812
79,588.40191650
80,620.55963135
81,646.80987549
82,625.37451172
83,595.84411621
84,576.20654297
85,580.86907959
86,576.02453613
87,577.45721436
88,568.02838135
89,572.15399170
90,563.44110107
91,559.03283691
92,558.20648193
93,555.15698242
94,545.12811279
95,543.82543945
96,535.88684082
97,535.44207764
98,533.23663330
99,548.84436035
100,546.90209961
101,552.89801025
102,582.15350342
103,576.10620117
104,518.41510010
105,600.89935303
106,578.80938721
107,600.80749512
108,556.58074951
109,585.74822998
110,539.01068115
111,551.79486084
112,538.42718506
113,546.36816406
114,605.48040771
115,549.00531006
116,588.22283936
117,557.49908447
118,551.48022461
119,564.78485107
120,541.98419189
121,539.38305664
122,566.86035156
123,538.32708740
124,523.87384033
125,522.66802979
126,525.70837402
127,524.06951904
128,498.33914185
129,487.19781494
130,518.25787354
131,499.72018433
132,501.73483276
133,506.43515015
134,507.44885254
135,498.44207764
136,544.15209961
137,525.51855469
138,540.04211426
139,505.24716187
140,521.31488037
141,521.76110840
142,505.70910645
143,540.12054443
144,513.18182373
145,500.14660645
146,502.84701538
147,507.03497314
148,507.98236084
149,502.24761963
150,488.36730957
151,492.05007935
152,487.32055664
153,487.28387451
154,482.65100098
155,470.34063721
156,504.81854248
157,488.93634033
158,479.85116577
159,466.82675171
160,462.99649048
161,460.07131958
162,457.70697021
163,453.95840454
164,447.20123291
165,442.70840454
166,445.48849487
167,445.28472900
168,436.97848511
169,421.73187256
